rally_Time,rally_LA,rally_LD,rally_RPM,rally_Gear,rally_TPS,rally_HP,rally_Speed,rally_Distance,rally_Ticks,econobox_Time,econobox_LA,econobox_LD,econobox_RPM,econobox_Gear,econobox_TPS,econobox_HP,econobox_Speed,econobox_Distance,econobox_Ticks,class_a_Time,class_a_LA,class_a_LD,class_a_RPM,class_a_Gear,class_a_TPS,class_a_HP,class_a_Speed,class_a_Distance,class_a_Ticks
7.133333333333333,0.17638952671707436,-0.050453865281974083,6671.980439591492,5,1.0,359.784784810212,121.70123042368631,0.15287006114956422,428,7.133333333333333,0.09605314365025698,-0.01851898310482828,5774.599724906327,3,1.0,107.1476325302767,65.52833781380114,0.0814906910825684,428,7.133333333333333,0.4010336210353412,-0.20288073815866642,4112.968063973548,4,1.0,1739.912344649172,254.91773702313628,0.3551544052995173,428
7.1499999999999995,0.17363812364780784,-0.050547074662018264,6678.728613527473,5,1.0,354.5708042553381,121.8243214726721,0.15343406263786363,429,7.1499999999999995,0.09603967633286671,-0.018549879365210412,5781.4284126951725,3,1.0,107.25930464614162,65.6058276107688,0.08179442176595159,429,7.1499999999999995,0.40088940169254167,-0.2031879743037262,4116.157875975442,4,1.0,1740.6367444652556,255.1154384505251,0.3563354952923438,429
7.166666666666667,0.17094886878449608,-0.05063827190242443,6685.324355791361,5,1.0,349.46370741944463,121.94463206955417,0.1539986211196671,430,7.166666666666667,0.09602621672122029,-0.018580794494531004,5788.253190017562,3,1.0,107.37087732833535,65.68327303299549,0.08209851099295619,430,7.166666666666667,0.4007455109274184,-0.20349474856489144,4119.340416726295,4,1.0,1741.3585276355232,255.31268921288762,0.35751749848314424,430
7.183333333333334,0.16832036037191103,-0.05072749821846953,6691.7711047140465,5,1.0,344.4615702880983,122.06222493170762,0.15456372401286947,431,7.183333333333334,0.09601276481725673,-0.018611728425575735,5795.074055895846,3,1.0,107.4823506218608,65.76067406938716,0.08240295855809224,431,7.183333333333334,0.40060194816465833,-0.20380106054090352,4122.515698976996,4,1.0,1742.0777036552338,255.50949010051139,0.35870041278916515,431
7.2,0.1657512281803945,-0.050814794084908646,6698.072221287904,5,1.0,339.5624903498626,122.1771613658031,0.15512935901919264,432,7.2,0.09599932062290302,-0.018642681091172855,5801.891009358466,3,1.0,107.59372457180571,65.8380307089189,0.08270776425581872,432,7.2,0.4004587128290759,-0.20410690983773952,4125.683735475506,4,1.0,1742.7942819885022,255.70584190350272,0.359884236131311,432
7.216666666666667,0.1632401328009189,-0.050900199244186456,6704.230990896609,5,1.0,334.7645870903067,122.28950129935983,0.15569551411780078,433,7.216666666666667,0.09598588414007413,-0.018673652424193343,5808.704049439951,3,1.0,107.70499922334244,65.91534294063477,0.08301292788054387,433,7.216666666666667,0.40031580434561714,-0.20441229606857889,4128.844538966754,4,1.0,1743.5082720683652,255.90174541177976,0.3610689664341433,433
7.233333333333333,0.16078576495572786,-0.05098375271484258,6710.2506250067045,5,1.0,330.0660024312853,122.39930331160072,0.1562621775590582,434,7.233333333333333,0.0959724553706731,-0.01870464235755111,5815.513175180902,3,1.0,107.81617462172753,65.9926107536479,0.08331844922662558,434,7.233333333333333,0.4001732221393647,-0.20471721885376987,4131.998122192517,4,1.0,1744.2196832968505,256.09720141506534,0.36225460162587975,434
7.25,0.1583868448242214,-0.05106549280008901,6716.134262821726,5,1.0,325.46490111866325,122.50662466362485,0.15682933785842681,435,7.25,0.09595903431659085,-0.018735650824203122,5822.318385627999,3,1.0,107.92725081230165,66.06983413714028,0.0836243280883716,435,7.25,0.4000309656355438,-0.20502167782079514,4135.144497891308,4,1.0,1744.928525045042,256.2922107028801,0.3634411396383931,435
7.266666666666667,0.15604212138375897,-0.051145457096540226,6721.884972899728,5,1.0,320.9594710614769,122.61152132791207,0.1573969837905005,436,7.266666666666667,0.09594562097970648,-0.01876667775714959,5829.119679833996,3,1.0,108.03822784048927,66.14701308036284,0.08393056426003995,436,7.266666666666667,0.3998890342595267,-0.20532567260423917,4138.283678798263,4,1.0,1745.6348066531482,256.4867740645354,0.36462857840721036,436
7.283333333333333,0.1537503717650504,-0.05122368250307678,6727.505754734971,5,1.0,316.5479236254129,122.71404801717405,0.1579651043831726,437,7.283333333333333,0.09593221536188704,-0.01879772308943417,5835.917056857703,3,1.0,108.14910575179823,66.22414757263529,0.08423715753583919,437,7.283333333333333,0.39974742743683794,-0.20562920284575403,4141.415677645036,4,1.0,1746.338537430568,256.68089228912646,0.3658169158715119,437
