puffin_Time,puffin_LA,puffin_LD,puffin_RPM,puffin_Gear,puffin_TPS,puffin_HP,puffin_Speed,puffin_Distance,puffin_Ticks,blue_jay_Time,blue_jay_LA,blue_jay_LD,blue_jay_RPM,blue_jay_Gear,blue_jay_TPS,blue_jay_HP,blue_jay_Speed,blue_jay_Distance,blue_jay_Ticks,cardinal_Time,cardinal_LA,cardinal_LD,cardinal_RPM,cardinal_Gear,cardinal_TPS,cardinal_HP,cardinal_Speed,cardinal_Distance,cardinal_Ticks,painted_bunting_Time,painted_bunting_LA,painted_bunting_LD,painted_bunting_RPM,painted_bunting_Gear,painted_bunting_TPS,painted_bunting_HP,painted_bunting_Speed,painted_bunting_Distance,painted_bunting_Ticks
12.316666666666666,0.06985421803126624,-0.027780221309624542,5453.306763961083,4,1.0,101.85326122392054,85.64525066303268,0.19174325918877788,739,12.316666666666666,0.05383995628028252,-0.053839956269357524,6911.46367606626,5,1.0,115.56269812843716,126.06955925928621,0.3493358028167609,739,12.316666666666666,0.1696123596303363,-0.09189331241414445,6229.814896666619,4,1.0,486.74613050215856,168.604787020568,0.4025244064155159,739,12.316666666666666,0.36930358726828,-0.27623256182807654,4814.673166097521,4,1.0,1875.9364748157009,298.40873279766186,0.7575005167605475,739
12.333333333333334,0.0698504027233399,-0.0278021418395278,5455.9841110844245,4,1.0,101.89770427787336,85.6872989239165,0.19213995964675898,740,12.333333333333334,0.053839956279551154,-0.053839956269365906,6911.463676066819,5,1.0,115.56269812697927,126.0695592592964,0.34991945818370207,740,12.333333333333334,0.16956252172456124,-0.09197302702785619,6232.681767758643,4,1.0,486.8272321347041,168.6823765152647,0.40330534334382734,740,12.333333333333334,0.369235848450011,-0.2764015276943883,4816.171000657671,4,1.0,1876.1766898787992,298.5015671184175,0.7588824684601698,740
12.35,0.06984658974916248,-0.02782405972249483,5458.659819841876,4,1.0,101.9421146811219,85.72932145394317,0.19253685465349019,741,12.35,0.053839956278867576,-0.05383995626937371,6911.463676067339,5,1.0,115.56269812562336,126.06955925930589,0.3505031135506433,741,12.35,0.169512766895284,-0.09205264542396306,6235.543858611264,4,1.0,486.90806741333853,168.75983663673603,0.40408663888381224,741,12.35,0.36916828190980094,-0.27657011634125983,4817.6650249739605,4,1.0,1876.416081102634,298.594165283986,0.7602648488550031,741
12.366666666666667,0.06984277910828239,-0.027845974941370057,5461.333890551637,4,1.0,101.98649244896279,85.77131825811009,0.19293394408987033,742,12.366666666666667,0.053839956278231814,-0.053839956269381005,6911.463676067825,5,1.0,115.5626981243574,126.06955925931474,0.35108676891758456,742,12.366666666666667,0.169463095027531,-0.09213216760308521,6238.401175844985,4,1.0,486.9886371810544,168.83716756416047,0.40486829243735,742,12.366666666666667,0.3691008872477156,-0.27673832836592976,4819.155247896162,4,1.0,1876.6546515291786,298.6865278428678,0.7616476568542756,742
12.383333333333333,0.06983897080024644,-0.027867887479023808,5464.00632353297,4,1.0,102.03083759670167,85.81328934143131,0.1933312278368214,743,12.383333333333333,0.05383995627763823,-0.0538399562693878,6911.463676068277,5,1.0,115.56269812317927,126.069559259323,0.3516704242845259,743,12.383333333333333,0.16941350600640265,-0.09221159356636774,6241.253726076026,4,1.0,487.0689422784194,168.9143694766005,0.4056503034071491,743,12.383333333333333,0.36903366406454596,-0.2769061643660823,4820.641678257965,4,1.0,1876.8924041886794,298.77865534256625,0.7630308913697504,743
12.4,0.06983516482459996,-0.027889797318352304,5466.677119106195,4,1.0,102.07515013965288,85.85523470893756,0.19372870577528872,744,12.4,0.053839956277085835,-0.05383995626939414,6911.463676068699,5,1.0,115.56269812207934,126.06955925933069,0.3522540796514672,744,12.4,0.16936399971707394,-0.09229092331547868,6244.1015159163,4,1.0,487.1489835435811,168.99144255300212,0.4064326711967463,744,12.4,0.3689666119618089,-0.277073624939837,4822.1243248769815,4,1.0,1877.1293420996988,298.87054832958825,0.7644145513157208,744
12.416666666666666,0.06983136118088674,-0.027911704442277665,5469.3462775926955,4,1.0,102.11943009313968,85.89715436567617,0.19412637778624092,745,12.416666666666666,0.05383995627657008,-0.05383995626940002,6911.463676069092,5,1.0,115.56269812105528,126.06955925933786,0.3528377350184086,745,12.416666666666666,0.1693145760447943,-0.09237015685260681,6246.944551973398,4,1.0,487.22876181227315,169.0683869721943,0.4072153952105065,745,12.416666666666666,0.3688997305417468,-0.27724071068573947,4823.603196554745,4,1.0,1877.3654682691608,298.96220734944427,0.7657986356090053,745
12.433333333333334,0.06982755986864908,-0.027933608833747924,5472.013799314906,4,1.0,102.16367747249413,85.93904831671108,0.19452424375067015,746,12.433333333333334,0.05383995627608991,-0.05383995626940553,6911.463676069458,5,1.0,115.56269812009995,126.06955925934454,0.35342139038535,746,12.433333333333334,0.1692652348748884,-0.09244929418045973,6249.782840850576,4,1.0,487.30827791782076,169.14520291288872,0.40799847485362173,746,12.433333333333334,0.368833019407327,-0.2774074222027499,4825.078302076719,4,1.0,1877.600785692393,299.05363294664886,0.7671831431689435,746
12.45,0.06982376088742781,-0.027955510475736984,5474.679684596315,4,1.0,102.20789229305696,85.98091656712278,0.194922303549592,747,12.45,0.05383995627564199,-0.05383995626941066,6911.4636760697995,5,1.0,115.56269811921099,126.06955925935077,0.3540050457522914,747,12.45,0.16921597609275613,-0.09252833530226137,6252.616389146739,4,1.0,487.38753269114613,169.2218905536792,0.40878190953211097,747,12.45,0.3687664781622413,-0.2775737600902345,4826.549650212308,4,1.0,1877.8352973531728,299.1448256647209,0.7685680729173913,747
12.466666666666667,0.06981996423676218,-0.02797740935124466,5477.343933761473,4,1.0,102.2520745701777,86.0227591220083,0.19532055706404575,748,12.466666666666667,0.05383995627522516,-0.05383995626941544,6911.463676070118,5,1.0,115.56269811838132,126.06955925935658,0.3545887011192329,748,12.466666666666667,0.16916679958387287,-0.09260728022175019,6255.445203456414,4,1.0,487.4665269607738,169.29845007304132,0.4095656986528195,748,12.466666666666667,0.36870010641090734,-0.27773972494795457,4828.017249714848,4,1.0,1878.069006223767,299.2357860461838,0.7699534237787162,748
